"Data Source","World Development Indicators",

"Last Updated Date","2021-02-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Antigua and Barbuda","ATG","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.931126597784","16.2240961130032","18.272105526542","17.982899589146","17.3099631598709","18.5678957063331","19.1614219283235","17.295625672284","19.4743904131773","22.0026104792094","18.5229233610262","18.3226149391729","16.4627081824765","15.017484139502","15.3140825798079","17.7633481924421","19.5296834906784","17.8623822743262","17.5444879249386","17.584093139827","17.1728982949362","16.7176405040483","16.2285574954213","15.6105785839878","15.9074968336386","16.3942368697297","","",
"Australia","AUS","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","11.1104412828551","11.3346250284933","11.9862628082423","11.6954801083108","11.3860219614496","11.9046590958159","12.8224084113685","12.7919829047233","13.6215586107587","13.0709961474959","13.1882445523866","13.9232028575681","14.4299073824296","14.6300279413834","14.4694053623573","16.8144577635998","17.9013383953673","17.4802756208756","17.8566322591714","17.3863914257043","17.2387371302744","17.8353117482352","17.7639595931987","18.6776064327516","18.3435030790428","18.9174926480915","19.0024592683677","18.9513842707641","18.0623608705452","17.3928540333464","17.2381518347942","18.1992110691581","19.0445191941238","18.9313414389362","18.3719082789419","18.0244537140569","17.9551136374406","17.6217514780538","17.614611195092","18.0059051086769","17.7870981110444","17.783157888765","17.5442457636894","17.5953855373552","17.4953747739649","17.5615885581832","17.4798028963399","17.3439365061251","17.2426533980343","17.5915470045114","17.9990024677012","17.8107497977583","17.9862323586256","17.8403795595542","17.6973844719836","18.0607422991861","18.6568548226847","18.6135041940658","18.6869238758818","19.0084908945654","",
"Austria","AUT","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","14.3153988801848","14.3930114246765","14.2445709952115","14.6867464368584","15.348540291242","16.7899777326513","17.1817693745386","17.0109076954887","17.6562142158354","17.5220942244756","17.5341440555041","17.9647048904059","18.3466781011049","18.3463214751647","18.3887310915946","18.5778439047332","18.7854382881422","18.7520822565685","18.5135052492305","18.1859860514548","17.9756738660758","18.1577955514132","18.4899116879537","19.3004158667799","19.4443661360991","19.5896579303121","19.5657433008979","19.6007911245516","19.5530546720414","19.8436668661919","19.2197165554154","18.9761681528468","18.8386965201083","18.979639912386","18.8913590714454","19.3462734216739","19.2582902718553","18.7447920696102","19.2721309580265","20.6842134754264","20.4925476679965","19.89656808887","19.8606923693557","19.9159427520344","19.8028420386289","19.7616905815254","19.6511011570073","19.4903515518412","19.3340213273295","19.4481985902142","",
"Azerbaijan","AZE","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.5989085948158","19.4236526946108","17.7195493869422","30.140127388535","23.5111822791567","12.7940762958103","12.017858449828","12.6112148940886","15.1572400162762","15.6128314481736","15.1501663805345","13.6466250282188","12.4041237113402","12.3892814664521","12.9000492368291","10.4220403274107","8.53986407912003","9.66026692054089","8.49511176664042","11.1234077215848","10.8814317673378","10.1276832686917","10.5259600648111","10.2832491148465","10.8858730371216","12.4082383229128","12.8320634437288","11.3414124411056","10.4664635668981","10.8272425655905","",
"Burundi","BDI","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","2.67857156523324","2.58620699847121","3.27868843244904","4.51127823425373","5.36912735204978","6.94510704275747","7.0991406703324","7.26555990000641","7.79975046787274","8.28576578741813","9.77160049154625","10.5845767208921","12.9235855784102","11.5827896415946","12.5827985067765","11.5459675984158","8.70704009763262","11.150975482059","13.7945349897943","12.8489010247825","9.21771444173027","9.06962398325043","10.6590645904156","8.31528542192374","7.81917814015283","7.83191993717172","9.83957842872865","9.69214042516666","10.7064831144218","10.1842788681871","10.8160802153932","10.768393283561","19.2375890021016","20.4914437774664","17.4139248520428","19.0502875515238","19.9923983276321","16.7736289381564","17.1414292853573","18.1598594642073","14.8566983263618","15.5330738165848","14.7329868449071","17.46133527299","19.2272662954525","14.1","15.2","19.0000006815559","20.200001151146","19.7000012320278","21.9000002798828","22.900000496536","23.2999991086841","24.7","25.9000061887709","22.4211149940172","23.4731999258337","25.0862949957959","26.210261088543","27.6386682758504","",
"Belgium","BEL","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","16.7887275608696","17.7720899474146","18.2877143675456","18.5683127538028","18.9309264818353","21.1481975967957","21.3052544709293","21.836019047853","22.6314880643124","22.9659052795549","22.8707603348627","24.1030980623394","23.7618826871375","23.4186755594308","23.3482159754814","22.8336885831274","22.687508927644","22.5216395173423","21.1432035444767","20.4558333384452","20.2172850732894","20.8629258399334","20.9609310665367","21.2946426523691","21.1019338255165","21.2989651245599","21.7183862211024","21.1513979156766","21.0949180608347","21.2820398534755","21.0401971476314","21.3136063380204","22.1388815392458","22.4843723439742","22.1972126513166","22.093997631255","21.9387885339603","21.6158948183584","22.6661446948071","24.191913477768","23.7326860900242","24.0494265732331","24.3033528607648","24.3127672571778","24.2338958514732","23.6150874463105","23.2620366238976","23.0185502586456","22.990951293538","23.0344476823239","",
"Benin","BEN","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","10.154439717883","10.1673019035612","10.8489920771159","10.6261734579732","9.13581731876019","8.8482979280316","8.22738368372008","9.21188945447672","8.99412488758258","8.92540812571392","9.73846488382712","10.0472007324133","10.1436000883903","9.96264266073984","8.61371534699504","9.25121675574385","8.59274336743383","8.30837051951837","8.31587542724965","8.02498182225647","8.64261205374082","9.15807413211855","10.4896780742547","14.4226166792559","13.6294383114451","15.3682469537862","15.2582730266091","15.5464031572569","13.1901490234151","11.0843237643575","17.5694732161861","16.1816148887447","15.7527458695796","15.2546525626767","15.6329615151681","14.4476469440652","13.5120955507393","13.2129732588972","13.1155135588307","8.14593689055722","8.08059450959748","8.08339019705914","7.78633266097782","8.82881759988085","8.80946780461131","8.9910736442313","9.6667347066507","9.56848525645387","10.2335884526485","11.2886208595087","11.2118694926743","11.0235419657792","11.1283007356691","11.0422342334299","10.1801970840633","11.4113801450627","10.2808187596981","10.4789842861363","10.4105053938863","10.3420632399475","",
"Burkina Faso","BFA","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","7.42652061799036","7.65368707769187","7.54839971644615","7.38639910682372","6.98224993873381","5.05104759671214","4.59710973929227","4.31956607499053","6.0585138769122","5.91215080696169","6.94499680740708","7.1359711958396","7.26553990634849","8.08218713174988","8.26565505828738","12.8924457015457","10.1323687257735","10.032371953129","10.0480543566992","10.7946973694178","9.22918835244672","9.25421566231758","13.7860096604093","14.3770613922595","13.0435475018617","17.3024484427189","18.9923328409924","19.9395756897688","20.0199480353779","20.1382242743815","21.0569952699417","21.6910996512529","21.7335283551021","21.3402148170525","26.0649175414308","25.1986855456088","24.389594090162","23.7332628818686","22.2973561174748","12.0583639805153","14.1091885003293","14.625601156611","14.5898515999372","13.5868608275023","14.2360467040752","13.7928275192666","15.1021200173216","16.6901098153908","14.6700928446474","15.2196246158513","14.457528015174","14.2866253805326","14.2545817669135","14.6555862871714","15.474778613438","15.9440802560458","16.5070965979117","17.7393231525305","16.9933635614374","19.0186064433638","",
"Bangladesh","BGD","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","6.19158078945777","6.35294149088275","6.31308914411734","6.9415589919198","8.3605179907656","9.0581969154006","12.9510654302968","11.2048757860753","11.9774314526507","13.2543821183939","13.3772410923478","","","3.93877814067019","4.64272057478671","3.16378396543982","4.06794100708768","5.08923904100949","4.87557087798912","6.28376859918816","6.14104064791632","4.39132011605416","4.43233517127319","4.3091271083747","4.34462740554859","4.03063329644585","4.20118152968138","4.14317368059806","4.16537536251982","4.15394423380197","4.05325016763114","4.13633163394744","4.45122187024089","4.95383869591304","4.88315945317799","4.62988612520877","4.72749921814699","4.90298208959861","5.12567978040796","5.03961520253427","4.97312138319291","4.84565983723317","5.02264856478482","5.12829861719188","5.17438311061483","5.18022516467283","5.44007855680545","5.35945621469055","5.17827687820651","5.09374516609514","5.07532583559895","5.0974466876342","5.03934251843094","5.11613164205746","5.33752075651661","5.40424038147983","5.89248815212782","5.99583908454596","6.35669477164265","6.27108716496231","",
"Bulgaria","BGR","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","","","","","","","","","","","13.6985770229925","14.7350636278668","15.0105125288664","15.4960992265534","15.1302931081845","16.5753958392774","16.9478674637896","16.8729281465483","16.3238588502833","16.5346949913086","18.1865848876199","19.033161385409","20.3361553784861","18.8558046169287","17.1893074581431","15.3481521198923","13.8489864855597","12.1431675540765","18.3452584871767","19.6065061391374","19.785112675507","19.368455899514","19.178153843914","20.110588722671","19.3619084834702","18.153567035274","18.1469405300315","16.6987398449513","17.1631862919397","16.739357660295","16.6028198174576","15.9309878863956","15.8687281753204","17.1446936941499","16.8862041367363","16.1274108419801","15.6253430153224","15.636613834487","16.4474004155531","16.7901755206235","",
